指标名称,1年期国债收益率,EURIBOR:6个月,GC001:收盘价,LIBOR:美元:3个月,USDCNH:即期汇率,上证综合指数,中国:CPI:当月同比,中国:M2:同比,中国:PPI:全部工业品:当月同比,中国:SHIBOR:隔夜,中国:iCPI:交通和通信:日环比,中国:iCPI:其他用品和服务:日环比,中国:iCPI:医疗保健:日环比,中国:iCPI:居住:日环比,中国:iCPI:总指数:日环比,中国:iCPI:教育文化和娱乐:日环比,中国:iCPI:生活用品及服务:日环比,中国:iCPI:衣着:日环比,中国:iCPI:食品烟酒:日环比,中国:中间价:美元兑人民币,中国:互联网搜索指数:找工作,中国:互联网搜索指数:招聘,"中国:价格:螺纹钢(HRB400,20mm)",中国:出厂价:石油焦(2#B):武汉石化,中国:出口金额:当月同比,中国:华东:开工率:聚氯乙烯:下游,中国:华北:开工率:聚氯乙烯:下游,中国:华南:开工率:聚氯乙烯:下游,中国:工业增加值:规模以上工业企业:当月同比,中国:开工率:乙二醇(非乙烯法),中国:开工率:产能(100-200万吨):焦化企业(230家),中国:开工率:产能(100-200万吨):焦化企业(230家).1,中国:开工率:产能(<100万吨):焦化企业(230家),中国:开工率:产能(>200万吨):焦化企业(230家),中国:开工率:产能(>200万吨):焦化企业(230家).1,中国:开工率:尿素,中国:开工率:汽车轮胎(全钢胎),中国:开工率:汽车轮胎(半钢胎),中国:开工率:甲醇,中国:开工率:电炉,中国:开工率:石油沥青装置,中国:开工率:纯碱,中国:开工率:线材:主要钢厂,中国:开工率:聚氯乙烯,中国:开工率:聚氯乙烯:上游,中国:开工率:聚苯乙烯,中国:开工率:聚苯乙烯泡沫,中国:开工率:苯乙烯,中国:开工率:螺纹钢:主要钢厂,中国:水泥价格指数,"中国:现货价(到岸价):焦煤(峰景矿,A:10.5%,V:21.5%,S:0.61%,G:87,Y:19,Mt:10%,CSR74,澳大利亚产)",中国:社会消费品零售总额:当月同比,中国:社会融资规模:当月值,中国:经销价:汽油(93#IV):成都中石化,中国:进口金额:当月同比,中国出口集装箱运价指数:综合指数,中国进口原油运价指数:综合指数,中国进口干散货运价指数:综合指数,中国进口干散货运价指数:综合指数.1,中国进口集装箱运价指数:综合指数,中国香港:政府债券收益率:3月,中间价:欧元兑人民币,义乌中国小商品指数:五金及电料类:价格指数,义乌中国小商品指数:五金及电料类:出口价格指数,义乌中国小商品指数:体育娱乐用品类:价格指数,义乌中国小商品指数:体育娱乐用品类:出口价格指数,义乌中国小商品指数:出口价格指数,义乌中国小商品指数:场内价格指数,义乌中国小商品指数:场内价格指数.1,义乌中国小商品指数:工艺品类:价格指数,义乌中国小商品指数:工艺品类:出口价格指数,义乌中国小商品指数:总价格指数,义乌中国小商品指数:护理及美容用品类:价格指数,义乌中国小商品指数:护理及美容用品类:出口价格指数,义乌中国小商品指数:文化办公用品类:价格指数,义乌中国小商品指数:文化办公用品类:出口价格指数,义乌中国小商品指数:日用品类:价格指数,义乌中国小商品指数:日用品类:出口价格指数,义乌中国小商品指数:服装服饰类:价格指数,义乌中国小商品指数:服装服饰类:出口价格指数,义乌中国小商品指数:玩具类:价格指数,义乌中国小商品指数:玩具类:出口价格指数,义乌中国小商品指数:电子电器类:价格指数,义乌中国小商品指数:电子电器类:出口价格指数,义乌中国小商品指数:箱包类:价格指数,义乌中国小商品指数:箱包类:出口价格指数,义乌中国小商品指数:网上价格指数,义乌中国小商品指数:订单价格指数,义乌中国小商品指数:辅料和包装类:价格指数,义乌中国小商品指数:辅料和包装类:出口价格指数,义乌中国小商品指数:针、纺织品类:出口价格指数,义乌中国小商品指数:钟表眼镜类:价格指数,义乌中国小商品指数:钟表眼镜类:出口价格指数,义乌中国小商品指数:鞋类:价格指数,义乌中国小商品指数:鞋类:出口价格指数,义乌中国小商品指数:首饰类:价格指数,义乌中国小商品指数:首饰类:出口价格指数,出厂价:液化气(汽运):荆门石化,加拿大:基准债券收益率:5年,南华工业品指数,南华综合指数,南华能化指数,南华金属指数,印尼:日用商品现价:咖啡:棉兰,印尼:日用商品现价:天然棕榈油:棉兰,印度:国债收益率:3月,原油运输指数(BDTI),唐山:市场价(不含税):废钢(6-8mm),固定资产投资完成额:制造业:累计同比,固定资产投资完成额:基础设施建设:累计同比,固定资产投资完成额:累计同比,地缘政治威胁指数,地缘政治行为指数,地缘政治风险指数,山东:价格:方坯(Q235),山东:库提价:港口内贸燃料油(4#船用),德国:上市联邦证券利率期限结构:1年期,成品油运输指数(BCTI),房地产开发投资完成额:累计同比,收盘价:焦炭,收盘价:美元兑韩元,新加坡:国库券收益率:6个月,日元指数,日本:企业债有效收益率:综合,日本:国债收益率:6月,期货收盘价(活跃合约):焦煤,期货结算价(活跃合约):IPE布油,期货结算价(活跃合约):NYMEX轻质原油,欧元兑美元,欧元区:公债收益率:即期利率收益率曲线:所有债券:6个月,"武汉:价格:热轧板卷(Q235B,3.0mm)","河南:车板价:焦煤(A≤10%,V:25-27%,S≤0.5%,G>75,Mt:8%,平顶山产)",法国:国债收益率:1个月,波罗的海干散货指数(BDI),泰国:债券市场协会指数:总收益:政府债券指数,温州指数:温州地区民间融资综合利率,温州指数:温州地区民间融资综合利率:社会直接融资利率,美元兑日元,美元指数,美国:5年期盈亏平衡通胀率:非季调,花旗中国经济意外指数,花旗十国集团经济意外指数,花旗新兴市场经济意外指数,花旗欧洲经济意外指数,花旗美国经济意外指数,英镑兑美元,菲律宾:国债收益率:6个月,越南:国债收益率:1年,运价:液化气(压力货):华南-海防港,远东干散货指数(FDI):综合指数,远东干散货指数(FDI):运价指数,银行间同业拆借加权利率:7天,银行间质押式回购加权利率:7天,韩国:KOSPI指数,韩国:国债收益率:3年,黎城:价格(干基含税):铁精粉(66%)
2001-11-01,,3.2657,,2.1091,,,-0.3,13.2,-3.7,,,,,,,,,,,8.2769,,,,,8.4,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,10.1,,,-3.7,,,,,,,7.3537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3983,,,,,,,,,,,,16.3,141.4245,494.214,296.1777,,,3.1543,,29.7,,,,101.6883,0.723,0.0137,,19.269,19.8137,0.8882,,,,3.4513,854.8,129.8815,,,22.3537,115.987,,,,,,,1.4359,11.6822,,,,,,2.1388,604.6243,5.3403,
2001-12-01,,3.2553,,1.926,,,-0.3,14.4,-4.0,,,,,,,,,,,8.2769,,,,,11.5,,,,8.7,,,,,,,,,,,,,,,,,,,,,,,9.6,,,4.6,,,,,,,7.3804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6706,,,,,,,,848.6,,,,13.7,121.4562,376.6929,231.2225,,,3.2848,690.68,25.3,,,,97.3887,0.8292,0.0225,,19.2652,19.5877,0.891,,,,3.3323,870.6774,132.1189,,,27.669,116.2955,,,,,,,1.4418,10.3806,,,,,,2.1396,667.721,5.919,
2002-01-01,,3.34,,1.8233,,,-1.0,13.1,-4.2,,,,,,,,,,,8.2767,,,,,29.2,,,,18.6,,,,,,,,,,,,,,,,,,,,,,,7.9,-472.0,,21.9,916.2933,,,,,1.6513,7.3193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5803,,,,,,,,801.2903,,,,19.1,104.0567,259.1657,169.9862,,,3.4529,687.3097,27.75,,,,94.1461,0.8923,0.0059,,19.7871,19.2355,0.8833,,,,3.3448,930.3871,133.7275,,,32.5716,117.6873,,,,,,,1.4326,8.9054,,,,,,2.1367,739.6508,6.0813,
2002-02-01,,3.3975,,1.9036,,,0.0,13.0,-4.2,,,,,,,,,,,8.2767,,,,,1.8,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,9.1,289.0,,-12.7,927.5663,,,,,1.6939,7.1885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6171,,,,,,,,716.0714,,,,24.5,93.0801,209.3824,143.4186,,,3.565,680.1786,30.2,,,,93.8643,0.9921,0.0022,,20.3575,20.8314,0.8706,,,,3.3357,957.2143,133.5828,,,33.4379,118.9404,,,,,,,1.4233,7.664,,,,,,2.087,771.6011,5.9264,
2002-03-01,,3.5068,,1.9912,,,-0.8,14.4,-4.0,,,,,,,,,,,8.2771,,,,,3.4,,,,10.9,,,,,,,,,,,,,,,,,,,,,,,8.3,3136.0,,8.5,931.972,,,,,1.9358,7.2522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1077,,,,,,,,694.5806,,,,26.1,97.6862,217.8308,150.2726,,,3.781,683.2774,36.2,,,,95.1519,0.9706,0.0023,,24.4052,24.639,0.876,,,,3.369,,131.1618,,,31.189,118.0026,,,,,,,1.4234,6.8607,,,,,,1.9553,835.2213,6.1043,
2002-04-01,,3.5363,,1.9668,,,-1.3,14.1,-3.06,,,,,,,,,,,8.2772,,,,,17.2,,,,12.1,,,,,,,,,,,,,,,,,,,,,,,8.2,1151.0,,17.8,930.735,,,,,1.828,7.3181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0813,,,,,,,,740.8333,,,,27.1,99.5971,219.282,154.1352,,,3.7967,732.78,38.8,,,,95.1157,0.8247,0.0027,,25.7563,26.2517,0.8866,,,,3.37,,131.0916,,,30.6373,116.848,,,,,,,1.4431,5.2836,,,,,,1.9508,894.0783,6.4687,
2002-05-01,,3.6216,,1.9042,,,-1.1,14.0,-2.63,,,,,,,,,,,8.277,,,,,18.4,,,,12.9,,,,,,,,,,,,,,,,,,,,,,,9.3,1774.0,,19.3,937.712,,,,,1.691,7.5538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9929,,,,,,,,785.871,,,,25.8,137.8767,205.295,159.1651,,,3.8894,732.0968,36.7,,,,97.12,0.7916,0.0033,,25.7694,26.6948,0.9178,,,,3.4026,,132.668,,,26.2458,113.3794,,,,,,,1.4599,5.7737,,,,,,1.9508,843.2103,6.2958,
2002-06-01,,3.5898,,1.8792,,,-0.8,14.7,-2.5,,,,,,,,,,,8.277,,,,,17.8,,,,12.4,,,,,,,,,,,,,,,,,,,,,,,8.6,2621.0,,8.6,937.4225,,,,,1.5953,7.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79,,,,,,,,758.8833,,,,24.4,127.9131,185.4947,147.7977,,,3.7997,732.4833,32.9,,,,98.54,0.757,0.0097,,24.6827,25.6583,0.957,,,,3.4147,,133.5037,,,23.0593,109.55,,,,,,,1.4852,6.2562,,,,,,1.951,787.2027,5.9403,
2002-07-01,,3.4821,,1.848,,,-0.9,14.4,-2.3,,,,,,,,,,,8.2768,,,,,28.1,,,,12.8,,,,,,,,,,,,,,,,,,,,,,,8.6,813.0,,28.9,946.37,,,,,1.5261,8.2156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4948,,,,,,,,742.9516,,,,24.1,92.8436,161.9824,119.3783,,,3.5768,741.3065,30.7,,,,101.7181,0.7558,0.01,,25.5513,26.9235,0.9923,,,,3.391,988.2258,135.6539,,,17.9761,105.9365,,,,,,,1.5564,6.4132,,,,,,1.9494,753.7439,5.6989,
2002-08-01,,3.3803,,1.7767,,,-0.7,15.5,-1.7,,,,,,,,,,,8.2767,,,,,25.0,,,,12.7,,,,,,,,,,,,,,,,,,,,,,,8.8,1585.0,,23.0,961.17,,,,,1.4445,8.0939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2622,,,,,,,,663.2957,,,,24.2,101.1353,157.3857,127.0025,,,3.3526,745.1452,30.0,,,,101.5505,0.7339,0.01,,26.3295,27.9966,0.9779,,,,3.3629,,138.3119,,,19.0237,107.3757,,,,,,,1.5368,6.3147,,,,,,1.9676,713.2161,5.3704,
2002-09-01,,3.2675,,1.8038,,,-0.7,16.5,-1.4,,,,,,,,,,,8.2769,,,,,33.1,,,,13.8,,,,,,,,,,,,,,,,,,,,,,,9.1,3507.0,,36.4,966.7975,,,,,1.6587,8.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1821,,,,,,,,674.3444,,,,24.3,167.8898,185.2553,170.2512,,,3.1483,704.8,29.4,,,,96.8267,0.6787,0.01,,28.3812,29.6996,0.9799,,,,3.336,,141.8262,,,21.0159,107.3094,,,,,,,1.555,6.524,,,,,,2.1608,700.8512,5.3594,
2002-10-01,,3.166,,1.7861,,,-0.8,17.0,-1.0,,,,,,,,,,,8.277,,,,,31.5,,,,14.2,,,,,,,,,,,,,,,,,,,,,,,9.4,795.0,,33.4,959.8525,,,,,1.7371,8.1075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3781,,,,,,,,924.8065,,,,24.1,161.108,195.8474,168.2963,,,3.0416,690.129,29.8,,,,98.1287,0.6494,0.01,,27.2548,28.8706,0.9811,,,,3.2755,,143.222,,,23.9694,107.5568,,,,,,,1.5568,6.745,,,,,,2.2438,642.4519,5.3906,
2002-11-01,,3.0396,,1.4593,,,-0.7,16.6,-0.4,,,,,,,,,,,8.2771,,,,,30.0,,,,14.5,,,,,,,,,,,,,,,,,,,,,,,9.1,1805.0,,37.9,991.678,,,,,1.4293,8.2787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1274,,,,,,,,,,,,23.4,151.8863,175.0412,156.0484,,,2.9392,786.6778,28.2,,,,99.3018,0.6254,0.01,,24.3179,25.8187,1.0016,,,,2.9657,,145.5609,,,21.4771,105.6537,,,,,,,1.5716,6.5946,,,,,,2.2301,679.7596,5.2911,
2002-12-01,,2.8852,,1.4064,,,-0.4,16.78,0.4,,,,,,,,,,,8.2772,,,,,30.2,,,,14.9,,,,,,,,,,,,,,,,,,,,,,,9.2,3109.0,,28.4,983.565,,,,,1.3355,8.4081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1499,,,,,,,,,,,,17.4,183.758,174.6742,175.0546,,,2.7716,994.1649,21.9,,,,98.6915,0.6289,0.0095,,27.5469,28.973,1.0215,,,,2.9132,,146.4178,,,21.6322,104.1487,,,,,,,1.588,6.6078,,,,,,2.2988,695.2412,5.276,
2003-01-01,,2.7615,,1.3674,,,0.4,19.3,2.4,,,,,,,,,,,8.2768,,,,,37.3,,,,14.8,,,,,,,,,,,,,,,,,,,,,,,10.0,3386.0,,63.4,,,,,,1.2694,8.7636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1371,,,,,,,,,,,,25.1,244.2826,176.4883,205.273,,,2.6077,,29.45,,,,100.01,0.579,,,30.0489,32.5369,1.0625,,,,2.8284,,148.9353,,,18.7076,100.8808,1.3596,,-0.1516,15.629,6.2323,-12.2065,1.6164,6.6581,,,,,,2.2777,630.7685,4.9687,
2003-02-01,,2.5865,,1.3438,,,0.2,18.1,4.0,,,,,,,,,,,7.9462,,,,,27.8,,,,19.8,,,,,,,,,,,,,,,,,,,,,,,8.5,998.0,,49.4,999.955,,,,,1.2182,8.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2704,,,,,,,,,,,,32.8,291.2839,210.6346,236.1908,,,2.4118,,37.0,,,,99.1361,0.5443,,,31.9571,35.31,1.0777,,,,2.7611,,149.8085,,,19.4854,99.9229,1.6461,,8.0393,5.7,27.85,-7.8286,1.6095,7.7859,,,,,,2.2574,592.0132,4.7364,
2003-03-01,,2.4521,,1.2889,,,0.9,18.54,4.6,,,,,,,,,,,8.2772,,,,,34.7,,,,16.9,,,,,,,,,,,,,,,,,,,,,,,9.3,4041.0,,45.1,980.7175,,,,,1.1468,8.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3126,,,,,,,,,,,,31.6,352.7903,413.4506,349.241,,,2.3477,,34.94,,,,100.061,0.4974,0.0096,,29.1861,33.1697,1.0794,,,,2.5755,,149.899,,,18.7106,99.7448,1.6939,,-3.3323,11.6968,59.9452,-76.8387,1.5817,7.8362,,,,,,2.0447,551.9994,4.7732,
2003-04-01,,2.474,,1.2558,,,1.0,19.2,3.6,,,,,,,,,,,8.2771,,,,,33.3,,,,14.9,,,,,,,,,,,,,,,,,,,,,,,7.7,2622.0,,34.4,997.0325,,,,,1.171,8.9804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2076,,,,,,,,,,,,30.5,210.7993,326.7605,252.8592,,,2.3134,,33.54,,,,98.6517,0.4467,0.0111,,23.79,26.7379,1.0858,,,,2.4579,,149.7879,,,19.919,99.477,1.571,,-16.8,20.6333,22.06,-81.38,1.5733,8.7309,,,,,,1.9592,586.394,4.5953,
